neighborhood,title,price,bedrooms,pid,sourcepage,link,date,sqft,longitude,latitude
napa county,Angwin One Bedroom Apartment with Attached Garage,900.0,1.0,4761862751,http://sfbay.craigslist.org/search/nby/apa,http://sfbay.craigslist.org/nby/apa/4761862751.html,2014-11-14 15:34,600.0,-122.44773400000001,38.570648999999996
santa rosa,NORTH EAST BEAUTY IN A SERENE SETTING,1705.0,2.0,4755262130,http://sfbay.craigslist.org/search/nby/apa,http://sfbay.craigslist.org/nby/apa/4755262130.html,2014-11-14 15:32,,-122.65741799999999,38.463301
healdsburg / windsor,Home for Rent,2400.0,4.0,4761860339,http://sfbay.craigslist.org/search/nby/apa,http://sfbay.craigslist.org/nby/apa/4761860339.html,2014-11-14 15:32,2000.0,-122.826844,38.547632
napa county, 2400 SQ FT MODERN HOME- ONLY 4 YEARS OLD- WALK TO DOWNTOWN,2550.0,3.0,4748347140,http://sfbay.craigslist.org/search/nby/apa,http://sfbay.craigslist.org/nby/apa/4748347140.html,2014-11-14 15:20,2400.0,-122.30041399999999,38.2879
santa rosa,***STUDIO FOR RENT***,975.0,,4761837194,http://sfbay.craigslist.org/search/nby/apa,http://sfbay.craigslist.org/nby/apa/4761837194.html,2014-11-14 15:16,416.0,-122.74305600000001,38.437422
rohnert pk / cotati,Walking distance to Sonoma State University,1600.0,2.0,4761804546,http://sfbay.craigslist.org/search/nby/apa,http://sfbay.craigslist.org/nby/apa/4761804546.html,2014-11-14 15:12,1150.0,,
san rafael,"Come Look and Lease, Swimming Pool, Washer Dryer in Unit",2624.0,2.0,4761820345,http://sfbay.craigslist.org/search/nby/apa,http://sfbay.craigslist.org/nby/apa/4761820345.html,2014-11-14 15:09,970.0,-122.532205,38.021326
petaluma,Relocating from out of town? Let us find your new home!,1755.0,2.0,4761805108,http://sfbay.craigslist.org/search/nby/apa,http://sfbay.craigslist.org/nby/apa/4761805108.html,2014-11-14 15:09,885.0,-122.59192900000001,38.239340999999996
hayes valley,Top Floor Apartment in Hayes Valley Victorian,3995.0,2.0,4755473292,http://sfbay.craigslist.org/search/sfc/apa,http://sfbay.craigslist.org/sfc/apa/4755473292.html,2014-11-14 15:35,950.0,-122.428873,37.775108
,1bedroom/1bathroom condo for rent,3000.0,1.0,4761672091,http://sfbay.craigslist.org/search/sfc/apa,http://sfbay.craigslist.org/sfc/apa/4761672091.html,2014-11-14 15:34,,-122.417332,37.763571999999996
lower nob hill,Holy Rent Controlled Studio! City Views in the lively Polk Gulch Hood!,2531.0,,4761802382,http://sfbay.craigslist.org/search/sfc/apa,http://sfbay.craigslist.org/sfc/apa/4761802382.html,2014-11-14 15:33,435.0,-122.41916100000002,37.788845
mission district,BEAUTIFUL Corner Unit 2 BEDROOM - AWESOME LOCATION,3895.0,2.0,4716871274,http://sfbay.craigslist.org/search/sfc/apa,http://sfbay.craigslist.org/sfc/apa/4716871274.html,2014-11-14 15:33,1000.0,-122.421977,37.743978999999996
castro / upper market,Amazing Location/Hardwood Floors/Pet Friendly/Available NOW!,3395.0,1.0,4756748849,http://sfbay.craigslist.org/search/sfc/apa,http://sfbay.craigslist.org/sfc/apa/4756748849.html,2014-11-14 15:32,,-122.42893600000001,37.767364
glen park,Beautifully Remodeled 2 Bedroom Apt. ,2850.0,2.0,4761858822,http://sfbay.craigslist.org/search/sfc/apa,http://sfbay.craigslist.org/sfc/apa/4761858822.html,2014-11-14 15:31,,-122.440063,37.730731
bernal heights,Open Sat 1-1:30 Open Floor Plan Updated LARGE One bedroom plus!,3100.0,1.0,4761814236,http://sfbay.craigslist.org/search/sfc/apa,http://sfbay.craigslist.org/sfc/apa/4761814236.html,2014-11-14 15:30,,-122.410655,37.747389
inner richmond,Free private bed room+bath room for Full Time Student ,,,4761855706,http://sfbay.craigslist.org/search/sfc/apa,http://sfbay.craigslist.org/sfc/apa/4761855706.html,2014-11-14 15:29,,-122.49240900000001,37.786521
cole valley / ashbury hts,"lovely, light filled Edwardian Apartment",3100.0,1.0,4761854308,http://sfbay.craigslist.org/search/sfc/apa,http://sfbay.craigslist.org/sfc/apa/4761854308.html,2014-11-14 15:28,1000.0,-122.44977,37.764866
west marin,Studio apartment w/ parking,2400.0,,4761818862,http://sfbay.craigslist.org/search/nby/apa,http://sfbay.craigslist.org/nby/apa/4761818862.html,2014-11-14 15:03,550.0,-122.429464,37.796898
novato,Open House Sun 12-2. Remodeled Ranch at the end of Quiet Cul-de-Sac ,2950.0,3.0,4761774594,http://sfbay.craigslist.org/search/nby/apa,http://sfbay.craigslist.org/nby/apa/4761774594.html,2014-11-14 15:02,1633.0,-122.58006100000001,38.101503
santa rosa,"Perfect location! Bennett Valley 2bd/1ba unit, carport, central heat",1275.0,2.0,4761815399,http://sfbay.craigslist.org/search/nby/apa,http://sfbay.craigslist.org/nby/apa/4761815399.html,2014-11-14 15:01,,-122.66301599999998,38.428687
napa county,PHENOMENAL 1BD NORTH-WEST NAPA GUEST HOME ON ACERAGE W/ VINEYARD VIEW,2500.0,1.0,4735677767,http://sfbay.craigslist.org/search/nby/apa,http://sfbay.craigslist.org/nby/apa/4735677767.html,2014-11-14 15:00,600.0,-122.351087,38.341813
napa county,"PHENOMENAL, COMPLETELY RENOVATED 3BD SINGLE-LEVEL HOME",2600.0,3.0,4748113629,http://sfbay.craigslist.org/search/nby/apa,http://sfbay.craigslist.org/nby/apa/4748113629.html,2014-11-14 15:00,,,
napa county,LIGHT & BRIGHT 3BEDROOM SINGLE-LEVEL NAPA HOME,2100.0,3.0,4758195544,http://sfbay.craigslist.org/search/nby/apa,http://sfbay.craigslist.org/nby/apa/4758195544.html,2014-11-14 14:59,1500.0,-122.28107800000001,38.317076
napa county,STUNNING 3 BEDROOM 2-STORY SHEVLAND RANCH SOUTH NAPA HOME,2300.0,3.0,4758138210,http://sfbay.craigslist.org/search/nby/apa,http://sfbay.craigslist.org/nby/apa/4758138210.html,2014-11-14 14:59,1800.0,-122.2564,38.4549
santa rosa,OVER 728 SQ. FT.! 1X1 DELUXE UNIT WITH GRANITE & WOOD FLOORING,1829.0,1.0,4761797202,http://sfbay.craigslist.org/search/nby/apa,http://sfbay.craigslist.org/nby/apa/4761797202.html,2014-11-14 14:59,728.0,-122.748828,38.467366
marina / cow hollow,Great Marina Building,3250.0,1.0,4761838985,http://sfbay.craigslist.org/search/sfc/apa,http://sfbay.craigslist.org/sfc/apa/4761838985.html,2014-11-14 15:25,875.0,-122.44498899999999,37.802104
SOMA / south beach,"2 Bed, 2 Bath - 12th FL Condo @ SOMA GRAND - Furnished",5300.0,2.0,4758264205,http://sfbay.craigslist.org/search/sfc/apa,http://sfbay.craigslist.org/sfc/apa/4758264205.html,2014-11-14 15:22,1250.0,-122.419825,37.766674
mission district,Newly Updated 1 BR + Den/Private Balcony/In-unit washer dyer/Avail NOW,3495.0,1.0,4751211791,http://sfbay.craigslist.org/search/sfc/apa,http://sfbay.craigslist.org/sfc/apa/4751211791.html,2014-11-14 15:20,,-122.42903100000001,37.758835
pacific heights,"Elegant 3 bedroom, 1 block from Lafayette Park",7650.0,3.0,4736208297,http://sfbay.craigslist.org/search/sfc/apa,http://sfbay.craigslist.org/sfc/apa/4736208297.html,2014-11-14 15:18,,-122.42726,37.789743
alamo square / nopa,Elegant Deluxe remodeled Victorian OPEN weekend,3295.0,1.0,4761836839,http://sfbay.craigslist.org/search/sfc/apa,http://sfbay.craigslist.org/sfc/apa/4761836839.html,2014-11-14 15:15,,-122.43978100000001,37.773782000000004
SOMA / south beach,Tri-Level loft with Private Deck - Amazing Views!,550.0,2.0,4761823285,http://sfbay.craigslist.org/search/sfc/apa,http://sfbay.craigslist.org/sfc/apa/4761823285.html,2014-11-14 15:15,1505.0,-122.39293700000002,37.786068
SF,*** 2 BEDROOM 2 BATH APARTMENT,,,4761831125,http://sfbay.craigslist.org/search/sfc/apa,http://sfbay.craigslist.org/sfc/apa/4761831125.html,2014-11-14 15:11,,,
USF / panhandle,Jr one bedr full sep granite kitch bath hall,1699.0,1.0,4761812320,http://sfbay.craigslist.org/search/sfc/apa,http://sfbay.craigslist.org/sfc/apa/4761812320.html,2014-11-14 15:11,400.0,,
