neighborhood,title,price,bedrooms,pid,longitude,sourcepage,link,date,latitude,sqft
pacifica,In-Law 1-Bedroom,1400,1,4753592426,,http://sfbay.craigslist.org/search/pen/apa,http://sfbay.craigslist.org/pen/apa/4753592426.html,2014-11-14 16:02,,400
foster city,"Controlled Access, Luxurious Features, Close to Shopping",2725,2,4761835802,,http://sfbay.craigslist.org/search/pen/apa,http://sfbay.craigslist.org/pen/apa/4761835802.html,2014-11-14 16:01,,1020
redwood city,"Bright, beautiful 2BD/1BA home in Redwood City",2895,2,4758318144,,http://sfbay.craigslist.org/search/pen/apa,http://sfbay.craigslist.org/pen/apa/4758318144.html,2014-11-14 15:56,,
mountain view, Recently Remodeled 2x2 Apartmant Home,2495,2,4761891992,,http://sfbay.craigslist.org/search/pen/apa,http://sfbay.craigslist.org/pen/apa/4761891992.html,2014-11-14 15:56,,
san bruno,HOUSE FOR RENT - 151 El Bonito Way,3900,3,4761862323,,http://sfbay.craigslist.org/search/pen/apa,http://sfbay.craigslist.org/pen/apa/4761862323.html,2014-11-14 15:55,,1410
san mateo,Bright 2 Bedroom Apartment w/Vaulted Ceilings...Simple Online App!,3408,2,4761891400,,http://sfbay.craigslist.org/search/pen/apa,http://sfbay.craigslist.org/pen/apa/4761891400.html,2014-11-14 15:55,,1003
san mateo,Live Here And Enjoy A Great View,3425,2,4761850765,,http://sfbay.craigslist.org/search/pen/apa,http://sfbay.craigslist.org/pen/apa/4761850765.html,2014-11-14 15:50,,1220
mountain view,Sunny Condo near Downtown Mtn. View,2100,1,4761862158,,http://sfbay.craigslist.org/search/pen/apa,http://sfbay.craigslist.org/pen/apa/4761862158.html,2014-11-14 15:46,,
nob hill,Beautiful 2bdr Nob Hill Apartment,4495,2,4734707220,,http://sfbay.craigslist.org/search/sfc/apa,http://sfbay.craigslist.org/sfc/apa/4734707220.html,2014-11-14 16:14,,1000
ingleside / SFSU / CCSF,Single family home w/ patio & yard. Pet OK! ~ J.Wavro,3195,3,4761913682,,http://sfbay.craigslist.org/search/sfc/apa,http://sfbay.craigslist.org/sfc/apa/4761913682.html,2014-11-14 16:12,,
lower haight,"Studio / 1 bath w/ hrdwd flrs, rmdls ktchn",2295,,4761912798,,http://sfbay.craigslist.org/search/sfc/apa,http://sfbay.craigslist.org/sfc/apa/4761912798.html,2014-11-14 16:12,,
inner richmond,Most desirable area in Richmond,3195,2,4751607641,,http://sfbay.craigslist.org/search/sfc/apa,http://sfbay.craigslist.org/sfc/apa/4751607641.html,2014-11-14 16:11,,
SOMA / south beach,The best deal in Mission Bay! ,4438,2,4761905309,,http://sfbay.craigslist.org/search/sfc/apa,http://sfbay.craigslist.org/sfc/apa/4761905309.html,2014-11-14 16:11,,1080
noe valley,3 Bedroom 2 Bath Modern Home with Panoramic Views ~ J.Wavro,8950,3,4761910324,,http://sfbay.craigslist.org/search/sfc/apa,http://sfbay.craigslist.org/sfc/apa/4761910324.html,2014-11-14 16:10,,
sunset / parkside,Move in Ready 2BR/1BA Single Family Home!!,3500,2,4743515580,,http://sfbay.craigslist.org/search/sfc/apa,http://sfbay.craigslist.org/sfc/apa/4743515580.html,2014-11-14 16:09,,1350
USF / panhandle,"Loveley 2 Bedroom / 1 Bathroom, Conveniently located near USF",3495,2,4761896924,,http://sfbay.craigslist.org/search/sfc/apa,http://sfbay.craigslist.org/sfc/apa/4761896924.html,2014-11-14 16:08,,
santa clara,Now Leasing-2 Bedroom 2 Bathroom in Santa Clara,3320,2,4761893355,,http://sfbay.craigslist.org/search/sby/apa,http://sfbay.craigslist.org/sby/apa/4761893355.html,2014-11-14 16:14,,987
cupertino,Cupertino duplex,2550,2,4761914399,,http://sfbay.craigslist.org/search/sby/apa,http://sfbay.craigslist.org/sby/apa/4761914399.html,2014-11-14 16:13,,1100
willow glen / cambrian,Ultra Chic 20ft. Celing Loft - Modern Living! $1000 Off 1st Mo's Rent!,3286,2,4755165277,,http://sfbay.craigslist.org/search/sby/apa,http://sfbay.craigslist.org/sby/apa/4755165277.html,2014-11-14 16:11,,1170
santa clara,Gated Community 3br/2b ,3450,2,4761884429,,http://sfbay.craigslist.org/search/sby/apa,http://sfbay.craigslist.org/sby/apa/4761884429.html,2014-11-14 16:11,,1185
san jose south,Consider Branham House your new home. Call for a tour today!,1875,1,4761881567,,http://sfbay.craigslist.org/search/sby/apa,http://sfbay.craigslist.org/sby/apa/4761881567.html,2014-11-14 16:10,,632
santa clara,Don't Miss Out On Luxury Living in the Heart of Rivermark!,2831,1,4761777639,,http://sfbay.craigslist.org/search/sby/apa,http://sfbay.craigslist.org/sby/apa/4761777639.html,2014-11-14 16:09,,880
cupertino,"NEXT TO THE APPLE CAMPUS AND DEANZA, LUXURY LIVING AT THE BEST ADDRESS",2138,1,4761884956,,http://sfbay.craigslist.org/search/sby/apa,http://sfbay.craigslist.org/sby/apa/4761884956.html,2014-11-14 16:08,,705
morgan hill,Three Bedroom Two Bathroom Recently Repainted Call us Now,1445,3,4761811360,,http://sfbay.craigslist.org/search/sby/apa,http://sfbay.craigslist.org/sby/apa/4761811360.html,2014-11-14 16:07,,1556
redwood shores,Sophisticated Waterfront Townhouse ,5400,3,4755069201,,http://sfbay.craigslist.org/search/pen/apa,http://sfbay.craigslist.org/pen/apa/4755069201.html,2014-11-14 15:46,,2100
burlingame,"Open House Sat & Sun 1-2PM, 2Bd,2Ba+Bonus Room, Westside By Downtown",4280,2,4751964439,,http://sfbay.craigslist.org/search/pen/apa,http://sfbay.craigslist.org/pen/apa/4751964439.html,2014-11-14 15:42,,1750
Vacaville,"3 bedroom house for rent $1,500.",1500,3,4761864784,,http://sfbay.craigslist.org/search/pen/apa,http://sfbay.craigslist.org/pen/apa/4761864784.html,2014-11-14 15:41,,
san mateo,Best Time to Lease is Now at Park 20!,2600,,4761871728,,http://sfbay.craigslist.org/search/pen/apa,http://sfbay.craigslist.org/pen/apa/4761871728.html,2014-11-14 15:40,,
mountain view,A True Gem with a Great Price and walking distance to downtown!!!,3810,3,4761844987,,http://sfbay.craigslist.org/search/pen/apa,http://sfbay.craigslist.org/pen/apa/4761844987.html,2014-11-14 15:39,,1056
mountain view,"Close to Google, Stanford & NasaAmes",2088,1,4761855469,,http://sfbay.craigslist.org/search/pen/apa,http://sfbay.craigslist.org/pen/apa/4761855469.html,2014-11-14 15:37,,
belmont,4BR/3BA Belmont Hills Home,4900,4,4751031576,,http://sfbay.craigslist.org/search/pen/apa,http://sfbay.craigslist.org/pen/apa/4751031576.html,2014-11-14 15:36,,2600
redwood city,Welcome to Montecito West! Beatifully remodeled 2 bedroom,2498,2,4761844218,,http://sfbay.craigslist.org/search/pen/apa,http://sfbay.craigslist.org/pen/apa/4761844218.html,2014-11-14 15:32,,
SOMA / south beach,Near Hayes Valley - top floor remodeled 2bed/1bath ~ J.Wavro,3795,2,4761907319,,http://sfbay.craigslist.org/search/sfc/apa,http://sfbay.craigslist.org/sfc/apa/4761907319.html,2014-11-14 16:07,,
